Image,Metric,Value
copd1,Normalized Mutual Information,1.1092425331065234
copd1,Dice Coefficient,6.476208899512183e-11
copd1,SSIM,0.9114320081480796
copd1,MSE,188596.7093937141
copd1,Mean TRE,54.88358712971858
copd1,Standard Deviation TRE,22.385622227773563
copd1,Mean Norm Error,80.35286420529548
copd1,Standard Deviation Norm Error,32.747934499832915
copd1,Cross Correlation Max Quantile (0.90),0.03150859687742742
copd1,Cross Correlation Min Quantile (0.10),0.0008664825124411182
copd1,Mean Cross Correlation,0.012857139112187171
copd1,Standard Deviation Cross Correlation,0.01298398206292924
copd1,Computational Time (s),7.958837032318115
copd2,Normalized Mutual Information,1.097730423497133
copd2,Dice Coefficient,5.4164624183686244e-11
copd2,SSIM,0.9333929387083437
copd2,MSE,168974.67833088894
copd2,Mean TRE,42.32137848365413
copd2,Standard Deviation TRE,11.554753383058307
copd2,Mean Norm Error,61.78791678476152
copd2,Standard Deviation Norm Error,18.12659205144159
copd2,Cross Correlation Max Quantile (0.90),0.03130390947149991
copd2,Cross Correlation Min Quantile (0.10),0.0008185023735022651
copd2,Mean Cross Correlation,0.012742711808057637
copd2,Standard Deviation Cross Correlation,0.01309630146787214
copd2,Computational Time (s),6.424555540084839
copd3,Normalized Mutual Information,1.1415267014401744
copd3,Dice Coefficient,5.145250639598286e-11
copd3,SSIM,0.9517415049383742
copd3,MSE,111540.35092114646
copd3,Mean TRE,25.89369937533616
copd3,Standard Deviation TRE,13.86909863232104
copd3,Mean Norm Error,23.186593682222057
copd3,Standard Deviation Norm Error,11.25811737142908
copd3,Cross Correlation Max Quantile (0.90),0.030764658516914987
copd3,Cross Correlation Min Quantile (0.10),0.0008920825502855901
copd3,Mean Cross Correlation,0.012869027084030937
copd3,Standard Deviation Cross Correlation,0.012972199438456055
copd3,Computational Time (s),7.496857404708862
copd4,Normalized Mutual Information,1.0941247559658251
copd4,Dice Coefficient,5.370271507729451e-11
copd4,SSIM,0.8375550200380446
copd4,MSE,346331.8902283623
copd4,Mean TRE,66.93088000209318
copd4,Standard Deviation TRE,29.999019358617975
copd4,Mean Norm Error,73.8553552757247
copd4,Standard Deviation Norm Error,30.890772577418918
copd4,Cross Correlation Max Quantile (0.90),0.031320082446740234
copd4,Cross Correlation Min Quantile (0.10),0.0008902379320059273
copd4,Mean Cross Correlation,0.012864659605250166
copd4,Standard Deviation Cross Correlation,0.012976530722872191
copd4,Computational Time (s),7.304271221160889
